set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 2,00:04:50,00:14:25,Semek,ryu,Urban Dynastes,felinferno
Winners Round 2,00:19:01,00:27:36,Xenoww,dresseurpokemon,FK Gapple,wario
Winners Round 3,00:31:45,00:40:50,LeDindonBarbare,pyramythra,Touheris,bowserjr
Winners Round 3,00:48:09,00:50:50,R-B Palouse,rob,R-B Palirex,ike
Winners Round 3,00:56:30,00:59:50,ARK Rulta,rob,Echamp Prof Ptera,heros
Winners Round 4,01:03:58,01:11:25,ECR Thena,palutena,R-B Palouse,rob
Winners Quarter Final,01:15:33,01:26:52,VGY Moufi,luigi,SR Osreish,bowser
Losers Round 5,01:31:24,01:34:21,R-B Palouse,gameandwatch,Resolx,donkeykong
Winners Semi Final,01:39:49,01:50:15,ECR Thena,wiifit,SR Necroma,pacman
Winners Semi Final,01:53:37,02:04:42,ARK Rulta,rob,SR Osreish,bowser
Winners Final,02:09:08,02:21:44,ARK Rulta,rob,SR Necroma,pacman
Losers Final,02:40:01,02:56:28,SR Necroma,mario,ECR Thena,palutena
Grand Final,02:58:42,03:07:28,ARK Rulta,rob,ECR Thena,wiifit
